                               No. of Molecules =      200
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         21.1606
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en        -263.22998
        Step              PE              KE                TE 
       479          -258.63439          45.82514        -212.80925
       480          -258.56062          45.75138        -212.80924
       481          -258.48844          45.67921        -212.80924
       482          -258.41792          45.60869        -212.80923
       483          -258.34913          45.53990        -212.80923
       484          -258.28212          45.47290        -212.80922
       485          -258.21699          45.40777        -212.80922
       486          -258.15381          45.34460        -212.80922
       487          -258.09265          45.28344        -212.80921
       488          -258.03358          45.22437        -212.80921
       489          -257.97667          45.16747        -212.80920
       490          -257.92201          45.11281        -212.80920
       491          -257.86966          45.06046        -212.80919
       492          -257.81969          45.01050        -212.80919
       493          -257.77218          44.96300        -212.80918
       494          -257.72721          44.91803        -212.80918
       495          -257.68483          44.87565        -212.80918
       496          -257.64511          44.83593        -212.80917
       497          -257.60811          44.79894        -212.80917
       498          -257.57390          44.76473        -212.80916
       499          -257.54252          44.73336        -212.80916
       500          -257.51405          44.70489        -212.80916
       501          -257.48852          44.67936        -212.80915
       502          -257.46598          44.65683        -212.80915
       503          -257.44649          44.63734        -212.80915
       504          -257.43009          44.62094        -212.80915
       505          -257.41680          44.60765        -212.80915
       506          -257.40665          44.59751        -212.80914
       507          -257.39969          44.59055        -212.80914
       508          -257.39592          44.58678        -212.80914
       509          -257.39536          44.58621        -212.80914
       510          -257.39800          44.58886        -212.80914
       511          -257.40387          44.59473        -212.80914
       512          -257.41295          44.60380        -212.80914
       513          -257.42523          44.61609        -212.80914
       514          -257.44071          44.63156        -212.80914
       515          -257.45935          44.65021        -212.80915
       516          -257.48114          44.67199        -212.80915
       517          -257.50604          44.69689        -212.80915
       518          -257.53402          44.72486        -212.80915
       519          -257.56502          44.75586        -212.80916
       520          -257.59900          44.78985        -212.80916
       521          -257.63593          44.82676        -212.80916
       522          -257.67572          44.86655        -212.80917
       523          -257.71834          44.90916        -212.80917
       524          -257.76369          44.95451        -212.80918
       525          -257.81171          45.00253        -212.80919
       526          -257.86232          45.05313        -212.80919
       527          -257.91543          45.10624        -212.80919
       528          -257.97098          45.16178        -212.80920
       529          -258.02886          45.21965        -212.80921
       530          -258.08899          45.27977        -212.80921
       531          -258.15127          45.34205        -212.80922
       532          -258.21562          45.40640        -212.80922
       533          -258.28195          45.47272        -212.80923
       534          -258.35015          45.54091        -212.80924
       535          -258.42012          45.61088        -212.80924
       536          -258.49177          45.68252        -212.80925
       537          -258.56498          45.75572        -212.80925
       538          -258.63965          45.83039        -212.80926
       539          -258.71570          45.90643        -212.80927
       540          -258.79300          45.98373        -212.80927
       541          -258.87147          46.06219        -212.80928
       542          -258.95099          46.14171        -212.80928
       543          -259.03149          46.22220        -212.80929
       544          -259.11284          46.30355        -212.80929
       545          -259.19496          46.38567        -212.80930
       546          -259.27776          46.46845        -212.80930
       547          -259.36113          46.55181        -212.80931
       548          -259.44498          46.63567        -212.80932
       549          -259.52924          46.71991        -212.80932
       550          -259.61380          46.80447        -212.80933
       551          -259.69860          46.88927        -212.80933
       552          -259.78354          46.97421        -212.80933
       553          -259.86855          47.05921        -212.80934
       554          -259.95356          47.14422        -212.80934
       555          -260.03849          47.22914        -212.80935
       556          -260.12328          47.31393        -212.80935
       557          -260.20786          47.39850        -212.80936
       558          -260.29216          47.48280        -212.80936
       559          -260.37613          47.56677        -212.80936
       560          -260.45972          47.65036        -212.80936
       561          -260.54287          47.73350        -212.80937
       562          -260.62553          47.81615        -212.80937
       563          -260.70765          47.89827        -212.80938
       564          -260.78918          47.97980        -212.80938
       565          -260.87009          48.06071        -212.80938
       566          -260.95033          48.14095        -212.80938
       567          -261.02988          48.22050        -212.80938
       568          -261.10871          48.29932        -212.80939
       569          -261.18678          48.37739        -212.80939
       570          -261.26407          48.45468        -212.80939
       571          -261.34056          48.53117        -212.80939
       572          -261.41623          48.60684        -212.80939
       573          -261.49106          48.68167        -212.80939
       574          -261.56502          48.75563        -212.80939
       575          -261.63810          48.82872        -212.80939
       576          -261.71030          48.90091        -212.80939
       577          -261.78159          48.97221        -212.80939
